,name,strikes_taken,percent_strikes_taken,sig_strikes_taken,percent_sig_strikes_taken,times_knocked_down,weight_class,was_kod_tkod
5458,Angela Magana,102,0.85,47,0.78,0,Women's Strawweight,False
5459,Michelle Waterson,19,0.5277777777777778,8,0.33,0,Women's Strawweight,False
5460,Jake Ellenberger,29,0.6170212765957447,20,0.57,2,Welterweight,True
5461,Stephen Thompson,14,0.6086956521739131,5,0.35,1,Welterweight,False
5462,Kamaru Usman,7,0.4666666666666667,3,0.27,0,,False
5463,Hayder Hassan,31,0.7209302325581395,15,0.57,0,,False
5464,Russell Doane,47,0.8245614035087719,15,0.68,0,Bantamweight,False
5465,Jerrod Sanders,34,0.6666666666666666,13,0.5,1,Bantamweight,False
5466,Michael Graves,50,0.6329113924050633,28,0.49,0,Welterweight,False
5467,Vicente Luque,53,0.7361111111111112,27,0.6,0,Welterweight,False
5468,Darrell Montague,21,0.6,19,0.57,1,Flyweight,True
5469,Willie Gates,4,0.3076923076923077,4,0.3,0,Flyweight,False
5470,George Sullivan,32,0.4444444444444444,13,0.24,0,Welterweight,False
5471,Dominic Waters,103,0.7103448275862069,54,0.56,0,Welterweight,False
5472,Dan Miller,149,0.8277777777777777,51,0.67,0,Middleweight,False
5473,Trevor Smith,29,0.4603174603174603,25,0.42,0,Middleweight,False
5474,Chad Mendes,74,0.6166666666666667,46,0.5,1,Featherweight,True
5475,Conor McGregor,36,0.6792452830188679,31,0.64,0,Featherweight,False
5476,Matt Brown,24,0.5,16,0.4,0,Welterweight,False
5477,Tim Means,26,0.6842105263157895,25,0.67,0,Welterweight,False
5478,Gunnar Nelson,8,0.5714285714285714,8,0.57,0,Welterweight,False
5479,Brandon Thatch,20,0.8333333333333334,6,0.75,1,Welterweight,False
5480,Robbie Lawler,87,0.3901345291479821,86,0.38,0,Welterweight,False
5481,Rory MacDonald,76,0.4662576687116564,70,0.44,1,Welterweight,True
5482,Cathal Pendred,78,0.6554621848739496,48,0.54,0,Welterweight,False
5483,John Howard,62,0.5961538461538461,45,0.51,0,Welterweight,False
5484,Mike Swick,55,0.40441176470588236,24,0.23,0,Welterweight,False
5485,Alex Garcia,45,0.3629032258064516,19,0.2,0,Welterweight,False
5486,Brad Pickett,24,0.43636363636363634,24,0.43,1,Bantamweight,True
5487,Thomas Almeida,20,0.36363636363636365,20,0.36,1,Bantamweight,False
5488,Dennis Bermudez,39,0.527027027027027,38,0.52,2,Featherweight,True
5489,Jeremy Stephens,66,0.5689655172413793,35,0.42,0,Featherweight,False
5490,Neil Seery,36,0.6206896551724138,23,0.51,0,Flyweight,False
5491,Louis Smolka,92,0.7603305785123967,21,0.48,1,Flyweight,False
5492,Yosdenis Cedeno,70,0.4430379746835443,15,0.15,0,Lightweight,False
5493,Cody Pfister,66,0.5689655172413793,26,0.34,0,Lightweight,False
5494,Cody Garbrandt,38,0.3486238532110092,35,0.33,0,Bantamweight,False
5495,Henry Briones,68,0.41975308641975306,64,0.4,1,Bantamweight,False
5496,Steve Montgomery,12,0.5714285714285714,10,0.52,1,Welterweight,True
5497,Tony Sims,13,0.40625,9,0.32,0,Welterweight,False
5498,Santiago Ponzinibbio,71,0.5819672131147541,64,0.55,1,Welterweight,True
5499,Lorenz Larkin,36,0.34615384615384615,33,0.32,0,Welterweight,False
5500,Antonio Carlos Junior,39,0.52,12,0.26,0,Middleweight,False
5501,Eddie Gordon,76,0.6386554621848739,40,0.51,0,Middleweight,False
5502,Leandro Silva,53,0.5698924731182796,21,0.37,0,Welterweight,False
5503,Lewis Gonzalez,55,0.7236842105263158,28,0.58,0,Welterweight,False
5504,Lyoto Machida,44,0.6111111111111112,42,0.6,0,Middleweight,True
5505,Yoel Romero,31,0.484375,31,0.48,0,Middleweight,False
5506,Hacran Dias,66,0.6875,37,0.56,0,Featherweight,False
5507,Levan Makashvili,30,0.6122448979591837,17,0.51,0,Featherweight,False
5508,Thiago Santos,0,0.0,0,0.0,0,Middleweight,False
5509,Steve Bosse,3,0.75,3,0.75,1,Middleweight,True
5510,Alex Oliveira,34,0.68,23,0.58,0,Welterweight,False
5511,Joe Merritt,33,0.55,11,0.33,0,Welterweight,False
5512,Danny Martinez,85,0.4748603351955307,52,0.35,1,Bantamweight,False
5513,Sirwan Kakai,62,0.32978723404255317,59,0.32,0,Bantamweight,False
5514,Nick Hein,37,0.38144329896907214,26,0.3,0,Lightweight,False
5515,Lukasz Sajewski,64,0.46715328467153283,54,0.42,0,Lightweight,False
5516,Joanna Jedrzejczyk,28,0.3076923076923077,25,0.28,0,Women's Strawweight,False
5517,Jessica Penne,162,0.6558704453441295,126,0.61,0,Women's Strawweight,True
5518,Dennis Siver,47,0.6911764705882353,22,0.56,0,Featherweight,False
5519,Tatsuya Kawajiri,90,0.656934306569343,22,0.36,0,Featherweight,False
5520,Peter Sobotta,3,0.25,3,0.25,0,Welterweight,False
5521,Steve Kennedy,7,0.5,6,0.46,0,Welterweight,False
5522,Makwan Amirkhani,1,1.0,1,1.0,0,Featherweight,False
5523,Masio Fullen,0,0,0,,0,Featherweight,False
5524,Mairbek Taisumov,17,0.4473684210526316,17,0.44,0,Lightweight,False
5525,Alan Patrick,24,0.5454545454545454,23,0.53,1,Lightweight,True
5526,Alan Omer,33,0.38372093023255816,23,0.3,0,Featherweight,False
5527,Arnold Allen,85,0.68,35,0.53,0,Featherweight,False
5528,Niklas Backstrom,105,0.7094594594594594,62,0.62,0,Featherweight,False
5529,Noad Lahat,23,0.5,11,0.35,0,Featherweight,False
5530,Scott Askham,13,0.5416666666666666,11,0.52,0,Middleweight,False
5531,Antonio Dos Santos,12,0.7058823529411765,11,0.68,2,Middleweight,True
5532,Taylor Lapilus,18,0.4186046511627907,16,0.39,0,Bantamweight,False
5533,Yuta Sasaki,68,0.6868686868686869,31,0.51,1,Bantamweight,True
5534,Piotr Hallmann,23,0.48936170212765956,18,0.43,0,Lightweight,True
